i.id;oa.id;i.name;oa.name;i.geo;oa.geo;dist (m);matching_name
199;https://openalex.org/I138938424;Università degli Studi della Tuscia;Università degli Studi della Tuscia;42.418688, 12.1009068;42.41937, 12.1056;393.0;True
214;https://openalex.org/I4210139464;Istituto Sperimentale per la Valorizzazione Tecnologica dei Prodotti Agricoli;Food Technology Research Unit;45.4743158, 9.2341794;41.89193, 12.51133;477524.0;True
217;https://openalex.org/I116067653;Università degli Studi di Roma 'Tor Vergata';University of Rome Tor Vergata;41.8929163, 12.4825199;41.89193, 12.51133;2387.0;False
228;https://openalex.org/I187986737;Collège de France;Collège de France;47.8690433, -3.9174725;48.85341, 2.3488;475573.0;True
229;https://openalex.org/I161548249;UNIVERSITY OF WALES - BANGOR;Bangor University;53.2267551, -4.1621938;53.22752, -4.12936;2187.0;False
232;https://openalex.org/I32021983;Christian-Albrechts-Universität Kiel;Kiel University;54.3305403, 10.1481376;54.32133, 10.13489;1337.0;False
233;https://openalex.org/I12093191;University of Stirling;University of Stirling;56.1165227, -3.9369029;56.11903, -3.93682;279.0;True
234;https://openalex.org/I189158943;Università degli Studi di Milano;University of Milan;45.4768434, 9.221121;45.46427, 9.18951;2834.0;True
238;https://openalex.org/I12093191;UNIVERSITY OF STIRLING.;University of Stirling;56.1165227, -3.9369029;56.11903, -3.93682;279.0;False
241;https://openalex.org/I161929037;Université de Bretagne Occidentale;Université de Bretagne Occidentale;48.1154053, -1.7002077;48.39029, -4.48628;208517.0;True
243;https://openalex.org/I102064193;Università degli Studi di Siena;University of Siena;43.3146738, 11.3306602;43.31822, 11.33064;394.0;True
244;https://openalex.org/I4210139787;Istituto Zooprofilattico Sperimentale delle Venezie;Istituto Zooprofilattico Sperimentale delle Venezie;45.4057884, 11.8960117;45.34238, 11.96482;8866.0;True
246;https://openalex.org/I143804889;LOUGHBOROUGH UNIVERSITY;Loughborough University;;52.76667, -1.2;;True
247;https://openalex.org/I195460627;University of Aberdeen;University of Aberdeen;57.1693463, -2.1076171;57.14369, -2.09814;2910.0;True
248;https://openalex.org/I205274468;Trinity College Dublin;Trinity College Dublin;53.3498053, -6.2603097;53.33306, -6.24889;2010.0;True
260;https://openalex.org/I181647926;University of Strathclyde;University of Strathclyde;55.8423269, -4.4307403;55.86515, -4.25763;11099.0;True
261;https://openalex.org/I71503853;Universidade do Algarve;University of Algarve;;37.01869, -7.92716;;True
263;https://openalex.org/I16835326;University of St Andrews;University of St Andrews;56.339316, -2.7965;56.33871, -2.79902;169.0;True
265;https://openalex.org/I83816512;Università degli Studi di Genova;University of Genoa;44.4157318, 8.9159581;44.40478, 8.94439;2566.0;True
269;https://openalex.org/I4210114391;BELGIAN NUCLEAR RESEARCH CENTRE;Belgian Nuclear Research Centre;50.8131599, 4.4319974;51.19188, 5.11662;63783.0;True
272;https://openalex.org/I62916508;TECHNICAL UNIVERSITY OF MUNICH;Technical University of Munich;48.138889, 11.569722;48.13743, 11.57549;458.0;True
277;https://openalex.org/I861853513;Università degli Studi di Roma La Sapienza;Sapienza University of Rome;41.8929163, 12.4825199;41.89193, 12.51133;2387.0;False
281;https://openalex.org/I43439940;University of Southampton;University of Southampton;50.893748, -1.395372;50.90395, -1.40428;1295.0;True
282;https://openalex.org/I7882870;University of Glasgow;University of Glasgow;55.9056703, -4.3220613;55.86515, -4.25763;6037.0;True
