institution_id;institution_name;search_result_name;institution_geolocation;dist (m);source
9965;EUROPEAN AQUACULTURE SCOCIETY;Slijkensesteenweg 4;51.22654, 2.931326;;Mapbox
9966;UNIVERSITEIT GENT FACULTEIT VAN DE LANDBOUWWETENSCHAPPEN;Rozier 44;51.045565, 3.724943;;Mapbox
9967;FUNDAÇÃO DA FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA;Rua Ernesto De Vasconcelos;38.757498, -9.155927;;Mapbox
9969;DEUTSCHER FISCHEREI VERBAND E.V.;Venusberg 36;53.547239, 9.973713;;Mapbox
9970;AQUATT UETP LTD;Dublin;53.349801, -6.260296;;Mapbox
9974;PLAGTON HATCHERY;El Salvador;13.736897, -88.866511;;Mapbox
9975;PANITTICA PUGLIESE SPA;Via Del Procaccio 11;40.843765, 17.454153;;Mapbox
9980;DOUBLE DELTA KERESKEDELMI TERMELO ES KUTATASFEJLESZTESI BETETI TARSASAG;Hullám Utca;47.205148, 21.537967;;Mapbox
9986;MARICOLTURA ROSIGNANO SOLVAY SRL;Via Solvay;43.099575, 10.585549;;Mapbox
10216;RESEARCH AND EDUCATION SOCIETY IN INFORMATION TECHNOLOGIES;Peania;37.95397, 23.852997;;Mapbox
9991;YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERIES SCIENCES;Nanjing;32.037132, 118.78567;;Mapbox
9992;FONDAZIONE RINASCIMENTO DIGITALE-NUOVE TECNOLOGIE PER I BENI CULTURALI;Via Maurizio Bufalini 6;43.773901, 11.258321;;Mapbox
9994;FERNUNIVERSITAET IN HAGEN;Feithstraße 152;51.377523, 7.490948;;Mapbox
9995;HUMBOLDT-UNIVERSITAT ZU BERLIN;Unter Den Linden 6;52.518087, 13.393672;;Mapbox
9996;SCHLUMBERGER CAMBRIDGE RESEARCH LTD;Madingley Road;52.211952, 0.09803;;Mapbox
9997;UNIVERSIDAD DEL PAÍS VASCO / EUSKAL HERRIKO UNIBERSITATEA;Barrio Sarriena;43.336355, -2.977926;;Mapbox
10000;NEUMANN JANOS DIGITALIS KONYVTAR ES MULTIMEDIA KOZPONT KHT;Színház Utca 1-3;47.498296, 19.037671;;Mapbox
10001;STICHTING NEDERLAND KENNISLAND;Keizersgracht 174;52.375334, 4.885471;;Mapbox
10002;AALTO-KORKEAKOULUSAATIO;Hämeentie 135c;60.209558, 24.976272;;Mapbox
10005;STICHTING ACADEMISCH REKENCENTRUM AMSTERDAM (SARA).;Kruislaan;52.348803, 4.942221;;Mapbox
10013;CONSORZIO INTERUNIVERSITARIO CINECA;CONSORZIO INTERUNIVERSITARIO CINECA;;;
10014;TRIPLAN SRL;Via Degli Apuani;41.896195, 12.519241;;Mapbox
10015;L'OFFICINA GBS SOCIETà COOPERATIVA;Piazza Vesuvio 8;41.943246, 12.534516;;Mapbox
10017;UNIVERSITY OF BONN, CENTER OF EXCELLENCE WOMEN AND SCIENCE;Poppelsdorfer Allee 15;50.730861, 7.100202;;Mapbox
10019;ARBEITSGEMEINSCHAFT SOZIALWISSENSCHAFTLICHER INSTITUTE E.V.;Lennéstraße 30;50.728648, 7.106379;;Mapbox
10020;GESIS-GESELLSCHAFT SOZIALWISSENSCHAFTLICHER INFRASTRUKTUREINRICHTUNGEN E.V.;An Der B2 1;53.158024, 14.328255;;Mapbox
10021;GESIS/GESELLSCHAFT SOZIALWISSENSCHAFTLICHER INFRASTRUKTUREINRICHTUNGEN EV;An Der B2 1;53.158024, 14.328255;;Mapbox
10023;SOLVO BIOTECHNOLOGY INC.;Béke Utca 5;46.250236, 20.141466;;Mapbox
10024;UNIVERSITAT DE VALÈNCIA. ESTUDI GENERAL;Avinguda De Blasco Ibañez 13;38.961907, -0.586032;;Mapbox
10025;INTERVALENCE BIOKINETICS S.L.;Carrer De Benjamin Franklin 12;39.548097, -0.460843;;Mapbox
10026;ACROSS BARRIERS GMBH;Saarbrücker Straße 69;51.248653, 6.782586;;Mapbox
10027;AUKSTIEJI ALGORITMAI;Vilniaus G. 29;55.516428, 26.320954;;Mapbox
10028;INSTITUTE OF ENZIMOLOGY, BIOLOGICAL RESEARCH CENTER, HUNGARIAN ACADEMY OF SCIENCES;Karolina Út 29;47.478988, 19.031104;;Mapbox
10040;TUEV INDUSTRIE SERVICE GMBH, TUEV SUED GRUPPE NIEDERLASSUNG MANNHEIM;Dudenstraße 28;49.497329, 8.504021;;Mapbox
10042;FELTALALOI ES KUTATO KOZPONT KFT;Szalonka Köz 28;47.485132, 19.123314;;Mapbox
10043;ADEMTECH SA;Ademtech (France);44.80565, -0.6324;;OpenAlexNormalized
10047;AQUA TREATMENT;Dromadoon;53.034807, -7.316836;;Mapbox
10051;JYVASKYLAN YLIOPISTO;Seminaarinkatu 15;62.235752, 25.733801;;Mapbox
10052;SEVERN TRENT LABORATORIES LTD;Torrington Avenue;52.44648, -1.49459;;Mapbox
10055;ADVANCED MECHANICAL AND OPTICAL SYSTEMS SA (AMOS);Rue Des Chasseurs Ardennais 1;50.598231, 5.566882;;Mapbox
10061;ECOMARES MARIFARM GMBH;Bülker Weg;54.442092, 10.17746;;Mapbox
10070;NEOTEK;Allée Des Châtaigniers;48.769661, 2.006049;;Mapbox
10071;Kirchmayer Handel & Consulting GmbH;Harter Straße 1;47.055251, 15.41624;;Mapbox
10074;TriPorTech GmbH;Seelandstraße 3;53.898862, 10.794159;;Mapbox
10075;Wageningen IMARES;Haringkade 1;52.45725, 4.593372;;Mapbox
10076;AKUVATUR Su Urunleri Ticaret ve Sanayi AS;Ege Caddesi 1;38.30816, 27.156669;;Mapbox
10077;SILT BV;Westerduinweg 6;52.460026, 4.578586;;Mapbox
10078;FISKEY HF;Hjalteyri;65.845894, -18.208379;;Mapbox
10265;QAP DECISION;Château;45.621513, 5.243346;;Mapbox
10079;FAI AQUACULTURE LIMITED;8 Smithy Wood Drive;53.45361, -1.45462;;Mapbox
10080;ACUINUGA;Cl Escalera Santiaguiño;42.739371, -8.663348;;Mapbox
10081;SOLEA B.V.;Westerduinweg 6;52.460026, 4.578586;;Mapbox
10082;Intravision AQUA AS;Rolfsbuktveien 17;59.891404, 10.625672;;Mapbox
10083;OTTER FERRY SEA FISH LTD;PA21 2DH;56.005891, -5.319023;;Mapbox
10085;NORSK KVEITE AS;Nordre Hauglandsvegen;60.50913, 5.085043;;Mapbox
10087;A. COELHO E CASTRO LDA;Praça Luis De Camões 15;41.387631, -8.764919;;Mapbox
10089;SagaFjord Seafarm AS;Eldøyane 200;59.751164, 5.488101;;Mapbox
10091;MERLUNOR AS;Sætre Bru;61.027726, 5.191173;;Mapbox
10092;SA UNION DES ELEVEURS BIO*SA UNEBIO;23 Rue Nicolas Appert;48.449561, 0.093735;;Mapbox
10093;AGROTECHNOLOGY AND FOOD INNOVATIONS BV;Bornsesteeg 59;51.987138, 5.660355;;Mapbox
10094;FairConnect B.V.;Timorplein 53;52.365112, 4.936121;;Mapbox
10095;ebl Naturkost e.K.;Klingenhofstraße 50;49.475168, 11.110375;;Mapbox
10096;EST DISTRIBUTION BIOGAM SARL;11 Rue Général Bernard;48.822007, 6.506241;;Mapbox
10097;VERENIGING VAN HANDELS EN VERWERKINGSBEDRIJVEN IN BIOLOGISCHE PRODUCTEN;Celsiusstraat 68;52.140636, 5.385215;;Mapbox
10100;SYNDICAT NATIONAL DES TRANSFORMATEURS ET DISTRIBUTEURS DE PRODUITS NATURELS ET DE CULTURE BIOLOGIQUE;28 Rue De La Chapelle;48.89226, 2.359991;;Mapbox
10102;TAST P.P.H. JAN TABINSKI;Janusza 2;53.431782, 14.509122;;Mapbox
10103;SUPERBIOMARKT;Hansestraße 81;51.893706, 7.632881;;Mapbox
10104;ORGANIC OILS SPA;Strada Montebuono 12b;43.060816, 12.213425;;Mapbox
10109;Agrovision Burgrain AG;Burgrain 20;47.143401, 7.996487;;Mapbox
10110;BIOAGRICOOP SCRL;Via Pietro Miliani 7;44.517742, 11.277818;;Mapbox
10111;ODDZIAL KUJAWSKO-POMORSKI STOWARZYSZENIA PRODUCENTOW ZYWNOSCI METODAMIEKOLOGICZNYMI EKOLAND;Zławieś Wielka;53.09498, 18.329205;;Mapbox
10115;DGB BILDUNGSWERK NRW EV;Bismarckstraße;51.221466, 6.78785;;Mapbox
10116;SOCIETE GENERALE SA;Boulevard Haussmann;48.874378, 2.322509;;Mapbox
10118;FEDERACION ESTATAL DE TRABAJADORESDE LA ENSENANZA UGT ASOCIACION;Avenida De América;40.359112, -3.828088;;Mapbox
10120;STICHTING MAROC NL;Johan Jongkindstraat;52.359088, 4.838253;;Mapbox
10122;ITpreneurs CSI BV;Weena;51.922912, 4.469395;;Mapbox
10123;STIFTUNG DIGITALE CHANCEN;Chausseestraße 15;52.529493, 13.384676;;Mapbox
10124;S.O.S. RACISMO GIPUZKOA ASOCIACION;Paseo Zarategi;43.3159, -1.954451;;Mapbox
10127;RESEAU MENON E.E.I.G.;Rue Des Deux Églises - Tweekerkenstraat 35;50.846713, 4.373111;;Mapbox
10128;ARBEITERWOHLFAHRT BUNDESVERBAND EV;Blücherstraße;52.493756, 13.399976;;Mapbox
10129;PROJEKTWERKSTATT UMWELT UND ENTWICKLUNG EV;Hausmannstraße;52.377267, 9.728428;;Mapbox
10130;ASSOCIAZIONE INTERCULTURALE DI DONNE NOSOTRAS;Via Faenza;43.777112, 11.251404;;Mapbox
10132;LONDON ADVICE SERVICES ALLIANCE LIMITED;Wentworth Street;51.516898, -0.073883;;Mapbox
10133;GROUPEMENT D' INTERET PUBLIC FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE PARIS;Rue Alphonse Penaud;48.868309, 2.406816;;Mapbox
10135;STATENS FORURENSNINGSTILSYN NORWEGIAN POLLUTION CONTROL AUTHORITY;Strømsveien;59.937074, 10.884667;;Mapbox
10136;INSTITUT FRANCAIS DE L'ENVIRONNEMENT;Route De L'olivet;44.481163, 4.678229;;Mapbox
10138;TIETO ESTONIA AKTSIASELTS;Roosikrantsi;59.4312, 24.743617;;Mapbox
10139;MINISTERE DE L'ECOLOGIE, DU DEVELOPPEMENT DURABLE DES TRANSPORTS ET DU LOGEMENT;92055 Rue Des Pyrénées;48.873907, 2.385964;;Mapbox
10144;KORNYEZETVEDELMI ES VIZUGYI MINISZTERIUM;Fő Utca;47.505135, 19.038218;;Mapbox
10145;UMHVERFISSTOFNUN ENVIRONMENTAL AND FOOD AGENCY;Suðurlandsbraut;64.135049, -21.872289;;Mapbox
10147;MALTA ENVIRONMENT AND PLANNING AUTHORITY;Valletta;35.898982, 14.513676;;Mapbox
10148;CENIA,CESKA INFORMACNI AGENTURA ZIVOTNIHO PROSTREDI;Vršovická 1442/65;50.069503, 14.467872;;Mapbox
