institution_id;institution_name;search_result_name;institution_geolocation;dist (m);source
6782;INSTITUTE FOR MARINE BIOLOGY, KOTOR;85330;48.330011, 37.080577;;Mapbox
6784;CENTRO DESENVOLVMENTO SOCIAL E CULTURAL;Estrada Da Fontinha;39.308661, -9.009306;;Mapbox
6789;DEPARTMENT OF ENVIRONMENTAL AFFAIRS OF APELDOORN;Apeldoorn;52.215336, 5.961482;;Mapbox
6810;INTERNET ADVERTISING BUREAU - EUROPE;De Ruijterkade 128;52.377599, 4.90718;;Mapbox
6827;Salzburg Research Forschungsgesellschaft m.b.H.;Jakob-Haringer-Straße 5;47.822727, 13.04102;;Mapbox
6844;THE HELLENIC FOUNDATION FOR EUROPEAN AND FOREIGN POLICY;Elliotsville Road;39.31468, -82.12931;;Mapbox
6854;LINKIT 2000 IRELAND LIMITED. TRADING AS TECNET - THE TECHNOLOGY NETWORK;Crestfield Centre;51.930488, -8.395687;;Mapbox
6873;CENTRO GALEGO DE ARTE CONTEMPORANEA;Calle Ramón María Del Valle-Inclán;40.123705, -3.85764;;Mapbox
6877;Centro Galego de Arte Contemporanea;Calle Ramón María Del Valle-Inclán;40.123705, -3.85764;;Mapbox
6893;INSTITUTO DE SISTEMAS E ROBOTICA;Avenida Universidade De Coimbra;40.119561, -8.510347;;Mapbox
6899;SAINT JOSEPH'S SCHOOL FOR THE VISUALLY IMPAIRED;Gracepark Road;53.375743, -6.242361;;Mapbox
6907;THE ATHENS LABORATORY OF BUSINESS ADMINISTRATION;Av 2a;7.925533, -72.600923;;Mapbox
6935;SOCIEDAD IBERICA DE CONSTRUCCIONES ELECTRICAS, S.A.;Calle De Sepúlveda 6;40.526263, -3.656014;;Mapbox
6981;POLIS AISBL;Rond-Point Robert Schuman 6;50.841866, 4.383826;;Mapbox
7012;WAITAKERE CITY COUNCIL;NZ;-41.838875, 171.7799;;Mapbox
7055;The University of Manchester;School Road;53.447351, -2.310458;;Mapbox
7062;METABOLIC SYSTEMS CO;Trinity College;53.344508, -6.253643;;Mapbox
7065;DAIRYGOLD CATTLE BREEDING SOCIETY LTD;30 Mallow Street;52.659904, -8.629858;;Mapbox
7075;ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE;Chemin Des Alambics;46.51989, 6.570283;;Mapbox
7102;BRAIN GIOTTO SAS;Piazzale Di Porta Ravaldino 17;44.216422, 12.035363;;Mapbox
7112;EXSITE RESEARCH LIMITED;The Cobbetts;51.145033, -0.98179;;Mapbox
7118;exSite Research Ltd.;LS25 5HG;53.755167, -1.231357;;Mapbox
7121;MINOLTA EUROPE GMBH;Desbrocksriede;52.431176, 9.677811;;Mapbox
7123;GEDAS IBERIA, SA;Passeig De La Zona Franca;41.346987, 2.14709;;Mapbox
7129;THE MUSEUM DOMAIN MANAGEMENT ASSOCIATION;Frescativägen 40;59.368803, 18.0534;;Mapbox
7130;J. PAUL GETTY TRUST;1200 Getty Center Drive;34.087752, -118.475756;;Mapbox
7132;INSTITUTO PORTUGUES DE MUSEUS;Travessa Da Ajuda;38.80625, -9.195496;;Mapbox
7140;CYBERNETIX;Rue Albert Einstein;45.600978, 5.223972;;Mapbox
7142;Becosa, Energias Renovables, S.A.;Calle La Cartuja;37.400142, -6.029622;;Mapbox
7335;SIEMSA NORTE S.A.;Eskauriatza-Zugatz Bidea;43.347917, -2.944902;;Mapbox
7156;NKUA/IASA;El Nozha;30.11, 31.34;;Mapbox
7176;"CENTRO DI RICERCA, PRODUZIONE E DIDATTICA MUSICALE ""TEMPO REALE""";Via Piana 77;43.739834, 11.294168;;Mapbox
7185;HERITAGE PARTICIPATION LIMITED;Lea Shaw;53.102503, -1.512827;;Mapbox
7208;TZENTRALNAIA GORODSKAIA PUBLICHNAIA BIBLIOTEKA IMENI V.V. MAIAKOVSKOGO;St. Petersburg;59.938732, 30.316229;;Mapbox
7209;TURKISH LIBRARIANS' ASSOCIATION;Elgün Sokak;39.924798, 32.853201;;Mapbox
7212;MHHHCTEPCTBO HA KYJITYPATA;Alexander Stamboliiski;42.920056, 22.927285;;Mapbox
7213;MINISTRY OF INTERIOR, HEADQUARTERS - DEPARTMENT OF TOWN PLANNING AND HOUSING;Nicosia;35.16923, 33.360275;;Mapbox
7221;AKVAPLAN-NIVA AS;Tromsø;69.649605, 18.955875;;Mapbox
