institution_id;institution_name;search_result_name;institution_geolocation;dist (m);source
9161;CENTRE NATIONAL DU MACHINISME AGRICOLE, DU GÉNIE RURAL, DES EAUX ET DES FORÊTS;Parc De Tourvoie;48.749208, 2.316999;;Mapbox
9162;PERTH COLLEGE;Crieff Road;56.404937, -3.456628;;Mapbox
9165;TECHNOLOGICAL AND EDUCATIONAL INSTITUTE OF LAMIA;Old National Hwy;34.129557, -80.838744;;Mapbox
9171;CHAMBRE REGIONALE DE COMMERCE ET D'INDUSTRIE DE BOURGOGNE;Place Des Nations Unies;47.354514, 5.048657;;Mapbox
9191;PHYSICAL SOCIETY OF SERBIA AND MONTENEGRO;118 Belgrave;50.62293, -2.47106;;Mapbox
9197;INTERNATIONAL ASSOCIATION OF PHYSICS STUDENTS;6 Rue Des Frères Lumière;47.730686, 7.313233;;Mapbox
9199;BAE Systems (Operations) Ltd;Warwick House;53.421079, -2.305651;;Mapbox
9200;BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY*;81 Newgate Street;51.620653, 0.013692;;Mapbox
9201;EUROPAEISCHES MICROSOFT INNOVATIONS CENTER GMBH;Ritterstraße 23;50.791163, 6.064483;;Mapbox
9202;THE SCIENCE AND TECHNOLOGY FACILITIES COUNCIL;North Star Avenue;51.568427, -1.789474;;Mapbox
9203;INTERNATIONAL BUSINESS MACHINES BELGIUM SA;Avenue Du Bourget - Bourgetlaan 42;50.877166, 4.432027;;Mapbox
9205;Atos Origin Sociedad Anonima Espanola;Carrer De Catalunya 210;41.325603, 2.10099;;Mapbox
9210;UNIVERISTY OF DAR-ES-SALAAM;Dar es Salaam;-6.816084, 39.280358;;Mapbox
9220;THALES RESEARCH & TECHNOLOGY (UK) LIMITED;Dashwood Lang Road;51.372425, -0.477062;;Mapbox
9222;TELECOM CASTILLA LA MANCHA S.A.;Calle Del Río Valdemarías;39.867288, -3.952215;;Mapbox
9237;ALVARION LTD.;Habarzel 21a;32.108571, 34.838696;;Mapbox
9238;Xsens Technologies B.V.;Hengelosestraat 705;52.223515, 6.887419;;Mapbox
9239;CHRISTIAN-ALBRECHTS-UNIVERSITAET ZU KIEL;Olshausenstraße 40;54.339013, 10.124819;;Mapbox
9255;AUDI AKTIENGESELLSCHAFT;Ingolstadt;48.763382, 11.424511;;Mapbox
9281;FUNDACION CIDAUT;Avenida De Boecillo;41.554795, -4.703529;;Mapbox
9289;UNIVERSITA DEGLI STUDI DI GENOVA.;Via Balbi 5;44.414854, 8.926621;;Mapbox
9290;KOEBENHAVNS UNIVERSITET-;Nørregade 10;55.68012, 12.571506;;Mapbox
9291;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS);3 Rue Michel-Ange;48.741227, 2.295789;;Mapbox
9294;EUROPAEISCHE VEREINIGUNG FUER TRANSFORMATIONSFORSCHUNG E.V.;Auf Der Koppel 40;53.661427, 10.07982;;Mapbox
9296;ETHNIC AND NATIONAL MINORITY STUDIES INSTITUTE OF THE HUNGARIAN ACADEMY OF SCIENCES;Úri Utca 53;47.503321, 19.029174;;Mapbox
9297;STEFAN BATORY FOUNDATION;Sapieżyńska 10a;52.253781, 21.002367;;Mapbox
9298;FOUNDATION FOR INTERNATIONAL STUDIES - UNIVERSITY OF MALTA;Valletta;35.898982, 14.513676;;Mapbox
9300;CULTURES AND CONFLITS;34 Rue De Montholon;48.876614, 2.344859;;Mapbox
9301;THE INTERNATIONAL PEACE RESEARCH INSTITUTE;Oslo Gate 7;59.906956, 10.767787;;Mapbox
9303;UNIVERSITA' COMMERCIALE LUIGI BOCCONI;Via Sarfatti 25;45.448435, 9.190171;;Mapbox
9304;'IMPACT' MAG. DR. WOLFGANG HACKL MANAGEMENT CONSULTING KEG;Eidechsengasse 6;48.240128, 16.500515;;Mapbox
9306;COMMONSENSE NV;Noorderlaan 139;51.264073, 4.401616;;Mapbox
9310;JOINT RESEARCH CENTRE (JRC);Rue De La Loi - Wetstraat 200;50.843485, 4.382567;;Mapbox
9311;COMMISSARIAT À L'ENERGIE ATOMIQUE;17 Rue Des Martyrs;50.559412, 3.126152;;Mapbox
9312;GRAZ UNIVERSITY OF TECHNOLOGY, DEPARTMENT OF FOOD CHEMISTRY AND TECHNOLOGY;Petersgasse;47.061333, 15.459281;;Mapbox
9314;UNIVERSITY OF VIENNA, INSTITUTE FOR ANALYTICAL CHEMISTRY, INSTITUTE OF NUTRITIONALNUTRIONAL SCIENCES;Währinger Straße 38;48.220554, 16.356384;;Mapbox
9316;NATIONAL CENTER OF PUBLIC HEALTH PROTECTION;Bul. Sofia;42.670713, 23.600142;;Mapbox
9318;AGENCE FRANAISE DE SECURITE SANITAIRE DES ALIMENTS;27-31 Avenue Du Général Leclerc;48.814876, 2.423545;;Mapbox
9320;INSTITUTO NACIONAL DE SAÚDE DR. RICARDO JORGE NATIONAL INSTITUTE OF HEALTH, PORTUGAL;Avenida Padre Cruz;38.775669, -9.163891;;Mapbox
9321;CENTRE D'ENSENYAMENT SUPERIOR DE NUTRICIÓ I DIETÈTICA;Carrer De Prat De La Riba 171;41.459486, 2.2134;;Mapbox
9322;FOOD RESEARCH INSTITUTE (VYSKUMNY USTAV POTRAVINARSKY);Priemyselná 4;48.154639, 17.142966;;Mapbox
9323;TURKIY BILIMSEL VE TEKNIK ARASTIRMA KURUMU (THE SCIENTIFIC AND TECHNICAL RESEARCH COUNCIL OF TURKEY);Atatürk Bulvarı;39.921416, 33.223931;;Mapbox
9327;IAN D UNWIN FOOD INFORMATION CONSULTANCY;6 Chapmans Way;52.31367, 0.01843;;Mapbox
9329;NUTRIENTEN BELGIE VZW;Pachecolaan 19;50.85305, 4.363455;;Mapbox
9334;FOOD CENTRE OF FOOD AND VETERINARY SERVICE OF LATVIA;Kr. Valdemāra Iela;56.513436, 27.339673;;Mapbox
9335;DANISH FOOD INFOMATION;Borgediget 12;55.638938, 12.074287;;Mapbox
9337;MATIS OHF;Skúlagata 4;64.148861, -21.93008;;Mapbox
9338;FOODCON SPRL;Rue Du Châtelain - Kasteleinsstraat 8;50.82574, 4.363742;;Mapbox
9341;NATIONAL INSTITUTE FOR HEALTH AND WELFARE;Mannerheimintie 166;60.201352, 24.897247;;Mapbox
9342;THE SECRETARY OF STATE FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS;17 Smith Square;51.495726, -0.126626;;Mapbox
9344;HEALTH EDUCATION AND DESEASE PREVENTION CENTRE;Kalvarijų G.;54.715505, 25.286721;;Mapbox
9349;INDEPENDENT NON-COMMERCIAL ORGANISATION ENVIRONMENTAL POLICY RESEARCH AND CONSULTING;Et 7-1;43.564915, 39.795691;;Mapbox
9353;UNITED NATIONS UNIVERSITY INSTITUTE FOR ENVIRONMENT AND HUMAN SECURITY;Görresstraße 15;50.658111, 7.190543;;Mapbox
9361;FUNDACIÓN PARA EL FOMENTO EN ASTURIAS DE LA INVESTIGACIÓN CIENTÍFICA APLICADA Y TECNOLÓGICA;Calle Del Cabo Noval 11;43.36032, -5.848586;;Mapbox
9362;CAMARA OFICIAL DE COMERCIO, INDUSTRIA Y NAVEGACION DE CANTABRIA;Plaza De Velarde 5;43.462468, -3.80587;;Mapbox
9363;CENTRO DE INNOVACION Y SERVICIOS DE GALICIA. CIS-DISEÑO Y TECNOLOGIA;S/N;28.958124, -13.552969;;Mapbox
9364;PARQUES TECNOLOGICOS DE CASTILLA Y LEON, S.A;Boecillo;41.540768, -4.699529;;Mapbox
