project_id,minority_qid,group_name_en,rule,matched_text,title
1845505570313344133,Q125564,Manx people,R1,many people,The Role of 18kDa Translocator Protein (TSPO) in cellular bioenergetics and microglial activation
1853247568992380671,Q125564,Manx people,R1,many people,The diamond cohort study- examining depressive symptoms in primary care
1853869722921383951,Q125564,Manx people,R1,many people,Evidence Synthesis to inform health related decision making
1857578058607365595,Q125564,Manx people,R1,many people,Working with community groups to understand and reduce COVID-19 vaccine hesitancy among ethnic minor
1867751537719693443,Q208551,Laz people,R1,lay people,Public and patient involvement in health data governance: a people-centred approach to data protecti
1884677827519698094,Q125564,Manx people,R1,many people,Smart Cities in the Making: Learning from Milton Keynes
1889811265464607326,Q7325,Jewish people,R1,the news,Seeing the bigger picture. The consequences of (non)verbal gender stereotyping in politicians’ media
1894510583134644425,Q7325,Jewish people,R5,hebrew,Physicists on the move
1909023288822000757,Q125564,Manx people,R1,many people,"Tea in Ireland:Consumption and Sociability, 1789-1845"
1911333624309355123,Q125564,Manx people,R1,many people,"Disability, care and participation: secondary analysis of the Life Opportunities Survey and the 2009"
1915932454498030507,Q125564,Manx people,R1,many people,ACT for ENVIRONMENT
1918306665881884250,Q7325,Jewish people,R1,the jaws,Pathophysiologic mechanisms during initiation of medication related osteonecrosis of the jaws
1920938864985586550,Q7325,Jewish people,R1,the news,Transparency and journalistic trustworthiness
1921967547415441812,Q125564,Manx people,R1,many people,Voices Of Individuals: Collectively Exploring Self-determination
1922879457613244561,Q125564,Manx people,R1,many people,CHEST Australia: reducing time to consult in primary care with symptoms of lung cancer.
1925213541524511120,Q125564,Manx people,R1,many people,Segregation in geophysical mass flows
1928678050641813491,Q125564,Manx people,R1,many people,IMPC Testing dst1 in susceptibility to infection
1929204814401455633,Q125564,Manx people,R1,many people,"Characterisation of T cells and antibody responses to Malaria, cross - sectional survey comparing tw"
1934970007783072550,Q125564,Manx people,R1,many people,What is the best way for healthcare professionals to communicate changes in estimated risk of breast
1941138917300409367,Q125564,Manx people,R1,many people,Machine Learning Supported Assisted Travel
1952432173678663722,Q2656122,Dom people,R1,do people,Multi-Religious Encounters in Urban Settings
1959080290019011734,Q125564,Manx people,R1,many people,"Production, negotiation, and translation of knowledge - a knowledge sociological study of complement"
1959444753042463820,Q125564,Manx people,R1,many people,Xenotransplantation of encapsulated insulin-producing pig cells
1962156410244030904,Q7325,Jewish people,R1,the news,Taxing sugar: the Dutch sugar tax discourse in the news media and its political agenda-setting effec
1962178701011212644,Q7325,Jewish people,R1,the news,"Beyond the news: How people encounter, engage with, and make sense of societal issues"
1965497770627665218,Q125564,Manx people,R1,many people,ReachOut - An online intervention to increase therapy motivation among people with pedophilia
1977333978520305088,Q7325,Jewish people,R1,the jewes,A History of the Representation of 'Gypsies' in Early Modern Britain
1979592003540992445,Q7325,Jewish people,R1,the jets,Collaboration in the ATLAS Experiment at CERN: data taking and analysis
1980795546128787968,Q125564,Manx people,R1,many people,Criminalising Contagion: Legal and Ethical Challenges of Disease Transmission and the criminal law
2000195735863136272,Q125564,Manx people,R1,many people,The socioecological drivers of tourist decisions and their influence on wildlife tourism sustainabil
2006594071705030088,Q208551,Laz people,R1,lay people,Comparative venom transcriptomics of centipedes: evolutionary diversification of a key ecological ad
2006775835937526355,Q125564,Manx people,R1,many people,Using Cognitive Measures to Predict Anxiolytic Response to Antidepressant Treatment (collaboration w
2012810087057006395,Q48199,Sámi people,R2,Same,Sustainability in German and Icelandic Kindergartens
2013776266391064187,Q125564,Manx people,R1,many people,Biodiversity and tourism management platform
2016761310829331173,Q7325,Jewish people,R5,hebrew,"scientific visit of professor Offer Kella (Hebrew University of Jerusalem, Israel)"
2034843079551779012,Q48199,Sámi people,R2,Same,AI-based autonomous flight control for the electric passenger aircraft of the nearest future
2041480145807102962,Q125564,Manx people,R1,many people,The resistible rise of Identity Politics? A cross-cultural analysis of national identity use within 
2046035305365118154,Q125564,Manx people,R1,many people,SP - Youth workers in education- new work approaches in schools that receive refugees and young sing
2051560001692916002,Q125564,Manx people,R1,many people,An in vitro 3D microfluidic human NeuroVascular Unit model for identifying the cell-type-specific re
